"title, publication, authors, date, year, month, url, content"
A First Responder Remembers the Columbine Massacre,video.newyorker.com,,04-19-2019,2019,4,https://video.newyorker.com/watch/columbine-colwell-linear,"Subscribe to 'The New Yorker' on YouTube to keep up with all of our latest videos and shows. When autocomplete results are available use up and down arrows to review and enter to select. The New Yorker Videos News A First Responder Remembers the Columbine Massacre There was no awareness on April 20, 1999 that the day would become a turning point in medical history."
Why Noise Pollution Is More Dangerous Than We Think,video.newyorker.com,,05-08-2019,2019,5,https://video.newyorker.com/watch/the-backstory-why-noise-pollution-is-more-dangerous-than-we-think,Subscribe to 'The New Yorker' on YouTube to keep up with all of our latest videos and shows. When autocomplete results are available use up and down arrows to review and enter to select. 
"The Royal Babies, Then and Now",video.newyorker.com,,05-08-2019,2019,5,https://video.newyorker.com/watch/the-royal-babies-then-and-now,"Subscribe to 'The New Yorker' on YouTube to keep up with all of our latest videos and shows. When autocomplete results are available use up and down arrows to review and enter to select. The New Yorker Videos Culture The Royal Babies, Then and Now Meghan Markle and Prince Harry welcomed a royal baby boy. While the newborn broke traditions new and old, his birth sparked memories of the royal births carried out by Kate Middleton and Princess Diana. Watch the events play out side by side."
