title, publication, authors, date, year, month, url, content
Key Moments From Mueller's Statement on the Russia Investigation,video.newyorker.com,,05-30-2019,2019,5,https://video.newyorker.com/watch/key-moments-from-mueller-s-statement-on-the-russia-investigation," News Key Moments From Mueller's Statement on the Russia Investigation On Wednesday, the special counsel Robert Mueller delivered his first public statement about President Donald Trump and the Russia investigation."
The Importance of a Viral Debate Moment,video.newyorker.com,,06-04-2019,2019,6,https://video.newyorker.com/watch/the-importance-of-a-viral-debate-moment,Subscribe to 'The New Yorker' on YouTube to keep up with all of our latest videos and shows. When autocomplete results are available use up and down arrows to review and enter to select. The New Yorker Videos 
Could Overtime Larry Change the Game of Teen Hoops?,video.newyorker.com,,06-20-2019,2019,6,https://video.newyorker.com/watch/could-overtime-larry-change-the-game-of-teen-hoops,"Subscribe to 'The New Yorker' on YouTube to keep up with all of our latest videos and shows. When autocomplete results are available use up and down arrows to review and enter to select. The New Yorker Videos Sports Could Overtime Larry Change the Game of Teen Hoops? The social-media personality covers the next generation of N.B.A. superstars in a way that’s aimed at young people instead of grownups, serving as a proxy for fans who want to be friends with young athletes like Zion Williamson, Trae Young, and LaMelo Ball. "
Watch Crossword Puzzles with a Side of Millennial Socialism | The New Yorker Video | CNE,video.newyorker.com,,06-21-2019,2019,6,https://video.newyorker.com/watch/crossword-puzzles-with-a-side-of-millennial-socialism,"Subscribe to 'The New Yorker' on YouTube to keep up with all of our latest videos and shows. When autocomplete results are available use up and down arrows to review and enter to select. The New Yorker Videos Crossword Puzzles with a Side of Millennial Socialism The New Yorker cruciverbalist Natan Last on the politics of puzzles, with a round of live clue-creation. Released on 6/21/2019 "
