"title, publication, authors, date, year, month, url, content"
The panel compares 2020 candidates to the Avengers. Did your favorites make the list?,www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/kendis-gibson/watch/the-panel-compares-2020-candidates-to-the-avengers-did-your-favorites-make-the-list-1511836739687,"Panelists Elie Mystal and Alexandra Petri weigh in on 'Avengers: Endgame' blockbuster film and the similarities between its superheroes and the 2020 presidential contenders. April 28, 2019"
Graham says Trump never obstructed Mueller investigation,www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/am-joy/watch/graham-says-trump-never-obstructed-mueller-investigation-1511765571803,"Fox News analyst Andrew Napolitano says Trump obstructed justice, while Donald Trump’s supporters such at Sen. Lindsey Graham have been boosting the president on recent news shows. Joy Reid and her panel discuss. April 28, 2019"
Obama offers Trump some good advice: 'Stop whining' | MSNBC,www.msnbc.com,,04-29-2019,2019,4,http://www.msnbc.com/rachel-maddow-show/obama-offers-trump-some-good-advice-stop-whining,"US President Barack Obama speaks at a Hillary for America campaign event, Oct. 14, 2016, in Cleveland, Ohio. Photo by Jim Watson/AFP/Getty Obama offers Trump some good advice: ‘Stop whining’ 10/18/16 02:27 PM  Updated 10/18/16 02:45 PM By Steve Benen For a guy who enjoys boasting about his “strength” and “toughness,” Donald Trump has a bad habit of whining. When the Republican presidential nominee isn’t complaining about the nefarious forces he perceives as his enemies (journalists, GOP leaders, microphones, Democrats, members of the “global power structure,” et al), Trump is expressing his dissatisfaction with those he sees as uncooperative (pollsters, the Commission on Presidential Debates, Emmy voters, et al).
Reactions to this tend to be a matter of personal taste: Trump’s followers seem to relate to his near-constant complaining, while Trump’s critics are less impressed. But when the Republican candidate started insisting that the American elections process is “ rigged ” against him, the complaints raised a different kind of alarm: Trump’s misguided rhetoric is arguably dangerous if it baselessly undermines public confidence in the American democratic system.
To their credit, some notable Republican officials, including House Speaker Paul Ryan, have pushed back, saying publicly that there’s simply no reason to question the integrity of the U.S. voting process. Today, President Obama weighed in on the same subject – in a rather direct way . President Barack Obama on Tuesday downplayed Donald Trump’s suggestion that November’s election is “rigged,” and said the GOP presidential nominee needs to toughen up.
“I’d advise Mr. Trump to stop whining and try to go make his case to get votes,” Obama said at a White House news conference alongside Italian Prime Minister Matteo Renzi.
“If whenever things are going badly for you, you start blaming somebody else, then you don’t have what it takes to be in this job,” Obama continued. “There are a lot of time things don’t go our way or my way … that’s OK, you fight through it.” At the same press conference, the president added, “I have never seen in my lifetime, or in modern political history, any presidential candidate trying to discredit the elections and the election process before votes have even taken place. It’s unprecedented,”
That happens to be true. As we discussed yesterday, there’s simply no precedent for anything like this in the American tradition. Voters have never seen a major-party presidential nominee go to such lengths to undermine confidence in their own country’s voting system – without any proof whatsoever – intentionally trying to delegitimize an election before it occurs.
But also note how Obama lowered the boom: “It doesn’t really show the kind of leadership and toughness that you’d want out of a president.”
The point isn’t exactly subtle. The president could explain how and why Trump is wrong, but Obama chose to go one step further, noting that anyone who whines like this simply isn’t prepared for the task at hand.
The New Republic ’s Brian Beutler noted in response, “[A]s the current president, and the most popular and trusted politician in the country, Obama’s scolding and taunting serves both to restore as much faith as possible in the system and to make Trump look petty and weak. This will resonate widely both because it’s so evidently true and because it’s likely to set Trump off on a new round of anti-Obama conniptions.”
Ideally, none of this would be necessary, but since Americans find themselves in less-than-ideal circumstances, it’s good to see the president defend democratic institutions that are facing nonsensical attacks.
Explore: The MaddowBlog , Barack Obama , Donald Trump , Election 2016 and Elections In 2016, 'basic facts' are the subject of... Tuesday's Mini-Report, 10.18.16 More Like This Best of MSNBC "
Fox News and the Trump White House,www.msnbc.com,"April 28, 2019",04-29-2019,2019,4,https://www.msnbc.com/am-joy/watch/fox-news-and-the-trump-white-house-1511672387921,Kendis Gibson Trump spreads false narrative about late term abortions at MAGA rally 
Dems ready for fight if AG Barr cancels testimony,www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/politicsnation/watch/dems-ready-for-fight-if-ag-barr-cancels-testimony-1512184387788,"Rev. Al Sharpton is joined by Rep. Dan Kildee and Rep. Ro Khanna. The congressmen say it’s their constitutional duty to hold the Trump Administration accountable. April 28, 2019"
Hate crimes on the rise under Trump Admin.,www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/politicsnation/watch/hate-crimes-on-the-rise-under-trump-admin-1512152643968,"Rev. Al Sharpton is joined by Danielle Moodie-Mills, Shelby Emmett, and Eugene Scott to discuss the rise in hate crimes under President Donald Trump, following the shooting in a California synagogue. April 28, 2019"
HBO Documentary Confronts USA Gymnastics Culture That Enabled Larry Nassar,www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/msnbc/watch/hbo-documentary-confronts-usa-gymnastics-culture-that-enabled-larry-nassar-1511935043512,"""At the Heart of Gold: Inside the USA Gymnastics Scandal,"" a new HBO documentary, explores the extent of former Michigan State University doctor Larry Nassar's sexual abuse. Filmmaker Erin Lee Carr joins MSNBC's Richard Lui to talk about the impact of her film, and what is next for the hundreds of sexual abuse survivors. April 28, 2019"
Hate crimes on the rise under Trump Admin.,www.msnbc.com,"April 28, 2019",04-29-2019,2019,4,https://www.msnbc.com/politicsnation/watch/hate-crimes-on-the-rise-under-trump-admin-1512152643968,Kendis Gibson Trump spreads false narrative about late term abortions at MAGA rally 
'Hillary and Clinton' finds a 2008 candidate in conflict,www.msnbc.com,"April 26, 2019",04-29-2019,2019,4,https://www.msnbc.com/morning-joe/watch/-hillary-and-clinton-finds-a-2008-candidate-in-conflict-1508295747536,Kendis Gibson Trump spreads false narrative about late term abortions at MAGA rally 
PoliticsNation 4/28/19 | MSNBC,www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/politicsnation/watch/politicsnation-4-28-19-episode,"PoliticsNation is hosted by Al Sharpton, one of America's most renowned civil rights leader. ... more Duration: {{video.duration.momentjs}} Up next in: Latest MSNBC videos"
