distance,word1,word2
0.6033744215965271,trump,president
0.7538589090108871,trump,people
0.759375274181366,trump,state
0.6464482545852661,trump,house
0.7359437048435211,trump,report
0.7142700552940369,trump,news
0.5214923620223999,trump,mueller
0.835209459066391,trump,american
0.6310691237449646,trump,government
0.7955226451158524,trump,law
0.6888266205787659,trump,democrats
0.7103052735328674,trump,right
0.7672248184680939,trump,campaign
0.7528902590274811,trump,states
0.8562569916248322,trump,media
0.7224236130714417,trump,department
0.6443816721439362,trump,us
0.50678551197052,trump,barr
0.8347907066345215,trump,political
0.7800791710615158,trump,white
0.7999746352434158,trump,justice
0.7177554965019226,trump,world
0.8128428310155869,trump,public
0.7935800105333328,trump,democratic
0.7253777980804443,trump,country
0.7170925438404083,trump,investigation
0.7749246656894684,trump,court
0.8188763558864594,trump,border
0.8698051273822784,trump,national
0.8020821511745453,trump,left
0.8173471391201019,trump,united
0.7023328244686127,trump,fbi
0.6138446927070618,trump,america
0.6534163355827332,trump,abortion
0.8061141073703766,trump,twitter
0.7262269854545593,trump,administration
0.7146831452846527,trump,attorney
0.7747489362955093,trump,women
0.5164126455783844,trump,biden
0.5597999095916748,trump,congress
0.8015449941158295,trump,children
0.7030773162841797,trump,party
0.7805514335632324,trump,police
0.7381181716918945,trump,bill
0.7898588180541992,trump,security
0.6807821989059448,trump,committee
0.7130933701992035,trump,work
0.8117179274559021,trump,man
0.7690428048372269,trump,federal
0.7285231053829193,trump,washington
0.7832409739494324,trump,election
0.7372251451015472,trump,policy
0.6435555219650269,trump,russia
0.7765354514122009,trump,family
0.6671193838119507,trump,officials
0.9294866397976875,trump,anti
0.6765681803226471,trump,counsel
0.6566515266895294,trump,donald
0.4561498165130615,trump,obama
0.7484738826751709,trump,statement
0.6538281440734863,trump,presidential
0.785402312874794,trump,power
0.7067140340805054,trump,war
0.785930722951889,trump,rights
0.818626880645752,trump,foreign
0.767850786447525,trump,americans
0.8287590444087982,trump,care
0.778003454208374,trump,social
0.7968528419733047,trump,fact
0.7236668765544891,trump,health
0.7701108157634735,trump,students
0.566525012254715,trump,clinton
0.8534354120492935,trump,intelligence
0.7686430364847183,trump,evidence
0.826453298330307,trump,human
0.8572681844234467,trump,deal
0.7999827116727829,trump,believe
0.7041329741477966,trump,senate
0.8263138979673386,trump,free
0.7887241691350937,trump,woman
0.5698226690292358,trump,sanders
0.7346943914890289,trump,men
0.779673308134079,trump,immigration
0.7849068939685822,trump,change
0.8881556540727615,trump,point
0.7922029346227646,trump,rep
0.7289872765541077,trump,russian
0.8218135088682175,trump,republican
0.8680808991193771,trump,legal
0.8516177237033844,trump,speech
0.7939937710762024,trump,story
0.74187371134758,trump,decision
0.7772442698478699,trump,director
0.8472017794847488,trump,system
0.7168387472629547,trump,child
0.8062306642532349,trump,tax
0.6721651554107666,trump,mexico
0.7571087628602982,trump,history
0.7746701389551163,trump,money
0.8099522888660431,trump,crime
0.81887586414814,trump,order
0.9006028026342392,trump,released
0.7508829683065414,trump,plan
0.7784489542245865,trump,military
0.7282984852790833,trump,secretary
0.8565730005502701,trump,vote
0.7021687030792236,trump,illegal
0.613299548625946,trump,israel
0.5843292772769928,trump,iran
0.8382216691970825,trump,politics
0.8757655173540115,trump,college
0.6824181079864502,trump,working
0.791205644607544,trump,community
0.6572907567024231,trump,death
0.623569905757904,trump,china
0.611804872751236,trump,pelosi
0.7551468461751938,trump,nation
0.7361358404159546,trump,republicans
0.9140031114220619,trump,control
0.8707905262708664,trump,black
0.7183427810668945,trump,god
0.8973290771245956,trump,job
0.8511611819267273,trump,california
0.8079475164413452,trump,criminal
0.7675936073064804,trump,conservative
0.8887227177619934,trump,candidate
0.688036322593689,trump,official
0.7702178061008453,trump,democrat
0.8233304917812347,trump,cortez
0.7542669028043747,trump,defense
0.5459064543247223,trump,omar
0.770960658788681,trump,ocasio
0.6458365321159363,trump,impeachment
0.7741101384162903,trump,press
0.7946967929601669,trump,attack
0.8059411346912384,trump,reports
0.7490382790565491,trump,enforcement
0.8797828853130341,trump,attacks
0.8193181753158569,trump,laws
